id,parentId,name,lastName,position,note,boxcolor,title_color,sub_title_color
101,r100,Neena,Kochhar,Administration Vice President,FR,gray,white,white
102,r100,Lex,De Haan,Administration Vice President,40%,red,white,white
103,102,Alexander,Hunold,Programmer,50%,white,black,black
104,103,Bruce,Ernst,Programmer,60%,blue,white,white
105,103,David,Austin,Programmer,70%,red,white,white
106,103,Valli,Pataballa,Programmer,20%,yellow,black,black
107,103,Diana,Lorentz,Programmer,30%,cyan,white,white
108,101,Nancy,Greenberg,Finance Manager,40%,,,
109,108,Daniel,Faviet,Accountant,50%,,,
110,108,John,Chen,Accountant,60%,,,
111,108,Ismael,Sciarra,Accountant,70%,,,
112,108,Jose Manuel,Urman,Accountant,30%,,,
113,108,Luis,Popp,Accountant,40%,,,
114,r100,Den,Raphaely,Purchasing Manager,50%,,,
115,114,Alexander,Khoo,Purchasing Clerk,60%,,,
116,114,Shelli,Baida,Purchasing Clerk,70%,,,
117,114,Sigal,Tobias,Purchasing Clerk,20%,,,
118,114,Guy,Himuro,Purchasing Clerk,30%,,,
119,114,Karen,Colmenares,Purchasing Clerk,40%,,,
120,r100,Matthew,Weiss,Stock Manager,50%,,,
121,r100,Adam,Fripp,Stock Manager,60%,,,
122,r100,Payam,Kaufling,Stock Manager,70%,,,
r100,,Ahmed,Adam,Chief Operating Officer,Eg,gray,white,white
123,r100,Shanta,Vollman,Stock Manager,40%,,,
124,r100,Kevin,Mourgos,Stock Manager,50%,,,
125,120,Julia,Nayer,Stock Clerk,60%,,,
126,120,Irene,Mikkilineni,Stock Clerk,70%,,,
127,120,James,Landry,Stock Clerk,20%,,,
128,120,Steven,Markle,Stock Clerk,30%,,,
129,121,Laura,Bissot,Stock Clerk,40%,,,
130,121,Mozhe,Atkinson,Stock Clerk,50%,,,
131,121,James,Marlow,Stock Clerk,60%,,,
132,121,TJ,Olson,Stock Clerk,70%,,,
133,122,Jason,Mallin,Stock Clerk,30%,,,
134,122,Michael,Rogers,Stock Clerk,40%,,,
135,122,Ki,Gee,Stock Clerk,50%,,,
136,122,Hazel,Philtanker,Stock Clerk,60%,,,
137,123,Renske,Ladwig,Stock Clerk,70%,,,
138,123,Stephen,Stiles,Stock Clerk,20%,,,
139,123,John,Seo,Stock Clerk,30%,,,
140,123,Joshua,Patel,Stock Clerk,40%,,,
141,124,Trenna,Rajs,Stock Clerk,50%,,,
142,124,Curtis,Davies,Stock Clerk,60%,,,
143,124,Randall,Matos,Stock Clerk,70%,,,
144,124,Peter,Vargas,Stock Clerk,30%,,,
145,r100,John,Russell,Sales Manager,40%,,,
146,r100,Karen,Partners,Sales Manager,50%,,,
147,r100,Alberto,Errazuriz,Sales Manager,60%,,,
148,r100,Gerald,Cambrault,Sales Manager,70%,,,
149,r100,Eleni,Zlotkey,Sales Manager,20%,,,
150,145,Peter,Tucker,Sales Representative,30%,,,
151,145,David,Bernstein,Sales Representative,40%,,,
152,145,Peter,Hall,Sales Representative,50%,,,
153,145,Christopher,Olsen,Sales Representative,60%,,,
154,145,Nanette,Cambrault,Sales Representative,70%,,,
